Source,Target,Column,Column2,generated
Sam Houston,J. Pinckney Henderson,,,0
James Webb,Alc6e La Branche,,,1
David G. Burnet,Richard G. Dunlap,,,2
Nathaniel Amory,Richard G. Dunlap,,,3
David G. Burnet,Richard G. Dunlap,,,4
T. Dunlap,Richard G. Dunlap,,,5
Nathaniel Amory,Richard G. Dunlap,,,6
John Emberson,Albert Sidney Johnston,,,7
David G. Burnet,Alc6e La Branche,,,8
David G. Burnet,Alc6e La Branche,,,9
David G. Burnet,Alc^ La Branche,,,10
William Scurlock,David G. Burnet,,,11
William M. Williams,David G. Burnet,,,12
D. Rowlett,David G. Bumet,,,13
David G. Bumet,Alc6e La Branche,,,14
David G. Bumet,Alc^ La Branche,,,15
David G. Bumet,Alc^e La Branche,,,16
D. Rowlett,David G. Bumet,,,17
David G. Bumet,Richard G. Dunlap,,,18
Abner S. Lipscomb,Alc^ La Branche,,,19
Abner S. Lipscomb,James Hamilton and A. T. Bumley, ,,20
Joseph Waplee,Barnard E. Bee,,,21
Abner S. Lipscomb,Geo. H. Flood,,,22
Joseph Waplee,Nathaniel Amory,,,23
Joseph Waples,Geo. H. Flood,,,24
Joseph Waplee,Geo. H. Flood,,,25
Joseph Waples,Geo. H. Flood,,,26
James S. Mayfield,Geo. H. Flood,,,27
James S. Mayfield,Barnard E. Bee,,,28
James S. Mayfield,Barnard E. Bee,,,29
Geo. H. Flood,Jamee S. Mayfield,,,30
James S. Mayfield,Geo. H. Flood,,,31
Geo. H. Flood,James S. Mayfield,,,32
James S. Mayfield,Barnard E. Bee,,,33
James S. Mayfield,Nathaniel Amory,,,34
Samuel A. Roberta,Barnard E. Bee,,,35
Samuel A. Roberts,Barnard E. Bee,,,36
Samuel A. Roberta,Joseph Eve,,,37
Samuel A. Roberta,Joseph Eve,,,38
Samuel A. Roberts,Barnard E. Bee,,,39
Sam Houston,Joseph Eve,,,40
Sam Houston,A. B. Roman,,,41
Sam Houston,A. B. Roman,,,42
Isaac Van Zandt,Anson Jones,,,43
Joseph Eve,Anson Jones,,,44
Isaac Van Zandt,Anson Jones,,,45
J. C. Spencer,Isaac Van Zandt,,,46
T. Hartley Crawford,Wm. Armstrong,,,47
R. Jones,W. Davenport and G. Loomis,,,48
Isaac Van Zandt,Anson Jones,,,49
Joseph Eve,Anson Jones,,,50
M. E. Hale,Joseph Eve,,,51
Anson Jones,Isaac Van Zandt,,,52
Anson Jones,Joseph Eve,,,53
Anson Jones,Isaac Van Zandt,,,54
Wm. Henry Daingerfield,Anson Jones,,,55
Anson Jones,Isaac Van Zandt,,,56
Sam Houston,Joseph Eve,,,57
Joseph Eve,Joseph Waples,,,58
Copy and sunmiary of instructions United States Department of State to ,,,,59
Joseph Eve as charg^ to Texaa, June 15 1841,,,60
Wm. Henry Daingerfield,Anson Jones,,,61
Joseph Eve,Anson Jones,,,62
Isaac Van Zandt,Anson Jones,,,63
' Daniel Webster,Isaac Van Zandt,,,64
Isaac Van Zandt,William S. Archer,,,65
Isaac Van Zandt,Anson Jones,,,66
Isaac Van Zandt,Daniel Webster,,,67
Joseph Eve,Anson Jones,,,68
Isaac Van Zandt,Anson Jones,,,69
Isaac Van Zandt,Anson Jones,,,70
Anson Jones,Joseph Eve,,,71
Joseph Eve,Anson Jones,,,72
ReubenM. Potter,A. M. Green,,,73
A. M. Green,Joseph Eve,,,74
Isaac Van Zandt,Anson Jones,,,75
Sam Houston,Joseph Eve,,,76
Anson Jones,Isaac Van Zandt,,,77
Anson Jones,Isaac Van Zandt,,,78
Joseph W. Robertson,Anson Jones,,,79
Chas. H. Raymond,Anson Jones,,,80
Anson Jones,Joseph Eve,,,81
Anson Jones,Joseph Eve,,,82
Anson Jones,Isaac Van Zandt,,,83
Jesse Benton,Anson Jones,,,84
Isaac Van Zandt,Anson Jones,,,85
Petition of Joseph Cooper,the Texan minister 187 ,,,86
Anson Jones,Isaac Van Zandt,,,87
Joseph Eve,President of Texas [Houston],,,88
Anson Jonee,Isaac Van Zandt,,,89
Isaac Van Zandt,Anson Jones,,,90
Anson Jones,Isaac Van Zandt,,,91
Anson Jones,Isaac Van Zandt,,,92
Isaac Van Zandt,Anson Jones,,,93
Isaac Van Zandt,Anson Jones,,,94
J. M. Porter,H. S. Legar^,,,95
William Armstrong,T. H. Crawford,,,96
William Armstrong,T. H. Crawford 203 ,,,97
Chas. H. Raymond,Anson Jones,,,98
Isaac Van Zandt,Anson Jones,,,99
Isaac Van Zandt,Anson Jones,,,100
Isaac Van Zandt,Anson Jones,,,101
Anson Jones,Isaac Van Zandt,,,102
M. C. Hamilton,Jacob Snively,,,103
Jacob Snively,Geo. W. HUl,,,104
Isaac Van Zandt,Anson Jones,,,105
Isaac Van Zandt,Anson Jones,,,106
Isaac Van Zandt,Anson Jones,,,107
W. S. Murphy,Anson Jones,,,108
Anson Jones,Isaac Van Zandt,,,109
W. S. Murphy,Anson Jones,,,110
Isaac Van Zandt,Anson Jones,,,111
Isaac Van Zandt,Anson Jones,,,112
A. P. Upshur,Isaac Van Zandt,,,113
Anson Jonee,Isaac Van Zandt,,,114
Anson Jones,J. Pinckney Henderson,,,115
Anson Jones,W. S. Murphy,,,116
Isaac Van Zandt,Anson Jones,,,117
J. H. Brewer,Isaac Van Zandt,,,118
Isaac Van Zandt,A. P. Upshur,,,119
Anson Jones,Isaac Van 2iandt,,,120
Anson Jones,Henderson and Van Zandt,,,121
Isaac Van Zandt,Anson Jones,,,122
Isaac Van Zandt,Anson Jones,,,123
Isaac Van Zandt,Anson Jones,,,124
Isaac Van Zandt,Anson Jones,,,125
Anson Jones,Isaac Van Zandt,,,126
Anson Jones,Isaac Van Zandt,,,127
Anson Jones,Isaac Van Zandt,,,128
Van Zandt and Henderson,Anson Jones,,,129
Sam Houston,Henderson and Van Zandt,,,130
Sam Houston,Van Zandt and Henderson,,,131
Anson Jones,Van Zandt and Henderson,,,132
Sam Houston,Van Zandt and Henderson,,,133
Isaac Van Zandt,Anson Jones,,,134
Sam Houaton,Van Zandt and Henderson,,,135
Van Zandt and Henderson,Anson Jones,,,136
Van Zandt and Henderson,Anson Jones,,,137
Isaac Van Zandt,Anson Jones,,,138
Van Zandt and Henderson,Anson Jones,,,139
Isaac Van Zandt,Anson Jones,,,140
Isaac Van Zandt,Anson Jones,,,141
Anson Jones,Isaac Van Zandt,,,142
A. M. Green,Anson Jones,,,143
Anson Jones,A. M. Green,,,144
Anson Jones,Charles H. Raymond,,,145
Address of Tilghman A. Howard,Anson Jones, ,,146
Anson Jones's reply,Howard *s address 294 ,,,147
Anson Jones,Charles H. Raymond,,,148
Isaac Van Zandt,Anson Jones,,,149
J. H. Brower,Isaac Van Zandt,,,150
Isaac Van Zandt,Anson Jones,,,151
Wm. Wilkins,John C. Calhoun,,,152
D. Parker,John C. Calhoun,,,153
R. Jones,the Secretary of War [of the United States],,,154
R. Jones,Zachary Taylor,,,155
Zachary Taylor,AdjutantrGeneral [R. Jones],,,156
G. Loomis,W. W. S. Bliss,,,157
Isaac Van Zandt,Anson Jones,,,158
J. H. Brower,Isaac Van Zandt,,,159
Isaac Van Zandt,Anson Jones,,,160
Charles H. Raymond,Anson Jones,,,161
Charles H. Raymond,Anson Jones,,,162
Charles H. Raymond,Anson Jones,,,163
Anson Jones,James Reily,,,164
Anson Jones,Charles H. Raymond,,,165
Charles H. Raymond,Anson Jones,,,166
A. J. Donelson,Anson Jones,,,167
M.S. CucuUu,John C. Spencer,,,168
Balie Peyton,M. S. CucuUu,,,169
Eddy and Moss,the collector of the customs at New Orleans, ,,170
Charles H. Raymond,the Secretary of State of Texas [Jones],,,171
John C. Calhoun,Charles H. Raymond,,,172
Charles H. Raymond,John C. Calhoun,,,173
A. J. Donelson,Anson Jones,,,174
Anson Jones,A. J. Donelson,,,175
A. J. Donelson,Secretary of State [Allen, December 10 1844,,176
Ebenezer Allen,A. J. Donelson,,,177
A. J. Donelson,Ebenezer Allen,,,178
Charles H. Raymond,the Secretary of State of Texas [Allen],,,179
John C. Calhoun,Charles H. Raymond,,,180
Charlee H. Raymond,John C. Calhoun,,,181
Ebenezer Allen,A. J. Donelson,,,182
Charles H. Raymond,Ebenezer Allen,,,183
A.J. Donelson,Ebenezer Allen,,,184
Ebenezer Allen,Charles H. Raymond,,,185
Charles H. Raymond,Ebenezer Allen,,,186
Ebenezer Allen,Charles H. Raymond,,,187
Charles H. Raymond,Ebenezer Allen,,,188
Ebenezer Allen,Charles H. Raymond,,,189
A. J. Donelson,Ebenezer Allen,,,190
Duff Green,A. J. Donelson,,,191
Williams, Thurston,Duff Green, January 1 1845,192
